student_id,academic_year,week_number,module_code,semester,total_sessions,attended_sessions,vle_logins,vle_resource_views,vle_forum_posts,vle_mean_login_time
25000,1051-52,1,422201,1,4,4,7,15,2,11:22
25000,1051-52,1,422204,2,3,2,5,11,2,13:16
25000,1051-52,1,422202,1,3,2,12,25,1,15:11
25000,1051-52,1,422203,2,4,3,6,12,0,15:35
25000,1051-52,2,422201,1,4,3,13,30,1,15:58
25000,1051-52,2,422204,2,3,3,6,13,0,20:45
25000,1051-52,2,422202,1,3,3,6,13,2,09:53
25000,1051-52,2,422203,2,4,4,6,13,4,13:48
25000,1051-52,3,422201,1,4,3,3,6,0,15:30
25000,1051-52,3,422204,2,3,2,5,10,1,16:53
25000,1051-52,3,422202,1,3,2,6,12,3,10:22
25000,1051-52,3,422203,2,4,3,6,11,0,12:27
25000,1051-52,4,422201,1,4,3,6,12,2,12:40
25000,1051-52,4,422204,2,3,2,5,9,3,15:48
25000,1051-52,4,422202,1,3,2,8,15,0,13:50
25000,1051-52,4,422203,2,4,2,5,9,2,22:48
25000,1051-52,5,422201,1,4,3,6,13,3,14:07
25000,1051-52,5,422204,2,3,3,2,4,1,12:36
25000,1051-52,5,422202,1,3,2,7,15,0,08:50
25000,1051-52,5,422203,2,4,3,2,4,2,18:40
25000,1051-52,6,422201,1,4,2,9,26,1,12:26
25000,1051-52,6,422204,2,3,2,5,13,3,19:49
25000,1051-52,6,422202,1,3,1,12,31,3,16:14
25000,1051-52,6,422203,2,4,2,8,20,1,22:06
25000,1051-52,7,422201,1,4,3,6,19,1,02:24
25000,1051-52,7,422204,2,3,3,7,22,2,09:22
25000,1051-52,7,422202,1,3,2,5,15,2,23:46
25000,1051-52,7,422203,2,4,4,8,23,0,19:56
25000,1051-52,8,422201,1,4,2,5,14,5,17:42
25000,1051-52,8,422204,2,3,1,10,28,3,12:42
25000,1051-52,8,422202,1,3,2,8,22,4,16:03
25000,1051-52,8,422203,2,4,2,6,15,1,14:10
25000,1051-52,9,422201,1,4,3,1,2,0,20:32
25000,1051-52,9,422204,2,3,2,6,12,2,13:50
25000,1051-52,9,422202,1,3,2,6,12,2,11:31
25000,1051-52,9,422203,2,4,2,4,8,0,21:00
25000,1051-52,10,422201,1,4,1,9,36,2,14:36
25000,1051-52,10,422204,2,3,1,2,7,2,23:48
25000,1051-52,10,422202,1,3,2,7,27,1,02:14
25000,1051-52,10,422203,2,4,2,9,31,1,20:35
25000,1051-52,11,422201,1,4,2,6,25,6,17:01
25000,1051-52,11,422204,2,3,2,5,20,1,21:23
25000,1051-52,11,422202,1,3,2,11,42,1,20:40
