student_id,academic_year,week_number,module_code,semester,total_sessions,attended_sessions,vle_logins,vle_resource_views,vle_forum_posts,vle_mean_login_time
15000,1049-50,1,4241101,1,4,3,9,17,1,15:17
15000,1049-50,1,4241102,1,4,3,4,7,4,12:33
15000,1049-50,1,4241103,2,4,3,5,10,1,13:38
15000,1049-50,1,422403,2,4,3,6,11,4,16:36
15000,1049-50,2,4241101,1,4,3,4,8,1,12:36
15000,1049-50,2,4241102,1,4,3,5,9,2,15:42
15000,1049-50,2,4241103,2,4,4,1,2,4,14:46
15000,1049-50,2,422403,2,4,3,9,17,1,08:41
15000,1049-50,3,4241101,1,4,2,8,14,1,18:09
15000,1049-50,3,4241102,1,4,3,4,7,1,16:31
15000,1049-50,3,4241103,2,4,3,4,7,1,17:32
15000,1049-50,3,422403,2,4,3,8,14,0,14:38
15000,1049-50,4,4241101,1,4,2,8,15,1,11:33
15000,1049-50,4,4241102,1,4,2,5,8,0,18:30
15000,1049-50,4,4241103,2,4,2,9,16,2,15:25
15000,1049-50,4,422403,2,4,2,11,19,1,10:01
15000,1049-50,5,4241101,1,4,2,10,20,1,11:45
15000,1049-50,5,4241102,1,4,3,5,9,1,16:22
15000,1049-50,5,4241103,2,4,3,5,9,5,09:10
15000,1049-50,5,422403,2,4,3,9,17,3,15:52
15000,1049-50,6,4241101,1,4,2,8,22,2,13:30
15000,1049-50,6,4241102,1,4,2,6,15,0,21:09
15000,1049-50,6,4241103,2,4,2,6,17,2,14:09
15000,1049-50,6,422403,2,4,3,4,11,1,13:41
15000,1049-50,7,4241101,1,4,3,7,19,0,12:12
15000,1049-50,7,4241102,1,4,3,7,18,2,15:55
15000,1049-50,7,4241103,2,4,3,10,29,3,15:41
15000,1049-50,7,422403,2,4,3,6,17,4,17:20
15000,1049-50,8,4241101,1,4,2,7,19,1,15:33
15000,1049-50,8,4241102,1,4,2,7,18,2,17:05
15000,1049-50,8,4241103,2,4,3,11,30,1,14:59
15000,1049-50,8,422403,2,4,2,3,8,1,16:50
15000,1049-50,9,4241101,1,4,3,12,23,3,13:19
15000,1049-50,9,4241102,1,4,3,14,26,1,13:41
15000,1049-50,9,4241103,2,4,4,5,9,3,15:17
15000,1049-50,9,422403,2,4,3,10,20,0,14:16
15000,1049-50,10,4241101,1,4,3,4,16,2,14:44
15000,1049-50,10,4241102,1,4,3,3,11,0,14:06
15000,1049-50,10,4241103,2,4,3,5,20,1,19:35
15000,1049-50,10,422403,2,4,4,6,23,2,14:43
15000,1049-50,11,4241101,1,4,4,12,50,0,20:20
15000,1049-50,11,4241102,1,4,3,6,23,1,14:28
15000,1049-50,11,4241103,2,4,4,11,46,2,15:25
15000,1049-50,11,422403,2,4,3,8,32,2,13:40
15000,1049-50,12,4241101,1,4,4,7,29,2,19:07
15000,1049-50,12,4241102,1,4,4,9,35,1,13:32
