student_id,academic_year,week_number,module_code,semester,total_sessions,attended_sessions,vle_logins,vle_resource_views,vle_forum_posts,vle_mean_login_time
30000,1052-53,1,4531001,1,4,3,43,96,1,15:10
30000,1052-53,1,453704,2,4,3,39,87,0,18:06
30000,1052-53,1,453803,2,4,4,43,86,1,19:33
30000,1052-53,1,453902,1,4,3,56,110,0,17:02
30000,1052-53,2,4531001,1,4,3,44,90,0,18:45
30000,1052-53,2,453704,2,4,3,49,104,1,19:54
30000,1052-53,2,453803,2,4,3,48,95,2,15:45
30000,1052-53,2,453902,1,4,3,49,99,0,16:11
30000,1052-53,3,4531001,1,4,3,48,98,1,14:14
30000,1052-53,3,453704,2,4,3,39,86,1,12:58
30000,1052-53,3,453803,2,4,4,47,91,2,16:50
30000,1052-53,3,453902,1,4,3,41,84,1,11:50
30000,1052-53,4,4531001,1,4,3,37,80,0,16:04
30000,1052-53,4,453704,2,4,3,49,108,2,17:33
30000,1052-53,4,453803,2,4,4,45,89,0,14:58
30000,1052-53,4,453902,1,4,3,50,102,0,19:38
30000,1052-53,5,4531001,1,4,3,39,81,2,15:51
30000,1052-53,5,453704,2,4,4,48,102,0,18:47
30000,1052-53,5,453803,2,4,3,50,93,0,14:06
30000,1052-53,5,453902,1,4,3,40,82,2,16:02
30000,1052-53,6,4531001,1,4,2,48,140,2,23:41
30000,1052-53,6,453704,2,4,2,38,111,1,18:01
30000,1052-53,6,453803,2,4,3,35,93,4,17:39
30000,1052-53,6,453902,1,4,3,50,138,1,14:51
30000,1052-53,7,4531001,1,4,2,43,124,0,17:53
30000,1052-53,7,453704,2,4,3,25,68,0,19:00
30000,1052-53,7,453803,2,4,2,56,146,0,19:02
30000,1052-53,7,453902,1,4,3,49,133,0,18:30
30000,1052-53,8,4531001,1,4,3,49,154,1,16:32
30000,1052-53,8,453704,2,4,4,47,146,1,17:27
30000,1052-53,8,453803,2,4,3,45,126,2,18:08
30000,1052-53,8,453902,1,4,3,54,155,2,15:10
30000,1052-53,9,4531001,1,4,3,51,102,0,15:43
30000,1052-53,9,453704,2,4,3,54,120,0,15:35
30000,1052-53,9,453803,2,4,3,40,78,3,15:26
30000,1052-53,9,453902,1,4,3,45,90,0,18:35
30000,1052-53,10,4531001,1,4,3,47,190,0,19:08
30000,1052-53,10,453704,2,4,3,55,225,2,17:32
30000,1052-53,10,453803,2,4,3,33,128,1,20:08
30000,1052-53,10,453902,1,4,3,34,133,2,18:05
30000,1052-53,11,4531001,1,4,3,34,141,1,14:51
30000,1052-53,11,453704,2,4,4,35,149,3,14:13
30000,1052-53,11,453803,2,4,3,42,164,0,19:24
30000,1052-53,11,453902,1,4,3,38,159,2,16:47
30000,1052-53,12,4531001,1,4,3,39,160,1,14:27
30000,1052-53,12,453704,2,4,3,53,226,1,19:02
30000,1052-53,12,453803,2,4,4,28,111,0,16:06
30000,1052-53,12,453902,1,4,3,39,152,2,20:08
30001,1052-53,1,451201,1,4,4,0,0,3,13:03
30001,1052-53,2,451201,1,4,3,1,2,1,13:58
30001,1052-53,3,451201,1,4,3,0,0,7,16:43
30001,1052-53,4,451201,1,4,4,0,0,0,15:20
30001,1052-53,5,451201,1,4,4,2,4,2,14:06
30001,1052-53,6,451201,1,4,2,1,2,0,12:22
30001,1052-53,7,451201,1,4,2,0,0,0,15:18
30001,1052-53,8,451201,1,4,4,1,3,3,14:45
30001,1052-53,9,451201,1,4,4,1,2,2,14:40
30001,1052-53,10,451201,1,4,4,1,4,1,17:07
30001,1052-53,11,451201,1,4,3,1,4,2,13:11
30001,1052-53,12,451201,1,4,3,2,7,1,15:39
30002,1052-53,1,442604,2,3,2,3,6,0,20:06
