student_id,academic_year,week_number,module_code,semester,attendance_rate,participation_score,academic_engagement,social_engagement,stress_level
500,1047-48,1,4.1.33.01,1,0.5161050709403634,0.4026261143922459,0.3336272606412392,0.4943382083233552,0.5624544385004303
500,1047-48,1,4.1.33.02,2,0.5966859825774987,0.4134689428959437,0.3758550337899992,0.5813117143491907,0.5610917374741561
500,1047-48,2,4.1.33.01,1,0.5179452771111889,0.2935202492865659,0.2467933063339852,0.4469590678632158,0.589631513159854
500,1047-48,2,4.1.33.02,2,0.437837748935148,0.3694940461307626,0.1761972738259829,0.4472971597227914,0.6941491041119052
500,1047-48,3,4.1.33.01,1,0.4197867300144144,0.4087030877016372,0.3115097234518114,0.4122938395917739,0.6853152266620773
500,1047-48,3,4.1.33.02,2,0.5048672500294525,0.2965720575290007,0.3172093777408991,0.5670938712827757,0.6684162634039512
500,1047-48,4,4.1.33.01,1,0.5149166005543073,0.422922881912927,0.4390245073339455,0.4509883309646896,0.6855477100308471
500,1047-48,4,4.1.33.02,2,0.6276105569588933,0.4103864910926733,0.4017653609614693,0.6232978935940006,0.5050249243733699
500,1047-48,5,4.1.33.01,1,0.5466883105181781,0.460684965930341,0.3008424436033044,0.4428549055529551,0.5842213399144031
500,1047-48,5,4.1.33.02,2,0.6050719798142901,0.4199193255815412,0.4138844436019072,0.5441116640031757,0.5788193436443247
500,1047-48,6,4.1.33.01,1,0.8116686582232822,0.6398108728439026,0.5469775121141709,0.8244376922289532,0.5107752768853193
500,1047-48,6,4.1.33.02,2,0.7629573625394533,0.7212345277483652,0.5953506311908483,0.8498756701484952,0.4637159426354064
500,1047-48,7,4.1.33.01,1,0.7370143019163565,0.7157469982958048,0.4958890706826527,0.6967394075273623,0.6153593394199101
500,1047-48,7,4.1.33.02,2,0.6785112484405734,0.6484385684796117,0.5209850551196117,0.6971578577475805,0.5107774917821001
500,1047-48,8,4.1.33.01,1,0.7411027267387412,0.6240193417970885,0.3675380909058839,0.6465074028318625,0.5207947303142931
500,1047-48,8,4.1.33.02,2,0.7057647592230497,0.5103759407060289,0.568020361605494,0.6854445184052794,0.5634174597830861
500,1047-48,9,4.1.33.01,1,0.5251166814973044,0.3974794037500851,0.3346613359689154,0.5775870433979364,0.5213178472572079
500,1047-48,9,4.1.33.02,2,0.5818175201802419,0.4033327962097534,0.5004347710713869,0.5187176101942422,0.5500247330604464
500,1047-48,10,4.1.33.01,1,0.7214394103357908,0.384907817299887,0.401648990939352,0.5424006959112578,0.6951615139083049
500,1047-48,10,4.1.33.02,2,0.6364054744078572,0.4064861616431378,0.5686739908922295,0.5062533286575714,0.7101208623222285
500,1047-48,11,4.1.33.01,1,0.5256940442510122,0.4081485427975446,0.3199729964966259,0.5837327933286071,0.9276071768346656
500,1047-48,11,4.1.33.02,2,0.5208353711489327,0.3395140563356614,0.3779350995364388,0.5443905448461257,0.8166410074489177
500,1047-48,12,4.1.33.01,1,0.6883175588877308,0.4913799562961272,0.5078095306346285,0.7169746756539928,0.7054156012517029
500,1047-48,12,4.1.33.02,2,0.6950632862553313,0.5198124188795556,0.5579275458416247,0.5843835703883815,0.6675480720550792
501,1047-48,1,1.3.8.01,1,0.7521950997376146,0.5127516954514667,0.7765025953671332,0.6746041713341743,0.4634882175383027
501,1047-48,1,1.3.8.02,2,0.8476710035617709,0.5496392440195458,0.8282130584665971,0.6188211143450838,0.454177731334861
501,1047-48,2,1.3.8.01,1,0.6813006063061381,0.4075261645473786,0.8285971256001404,0.5071345048727778,0.5509557982710944
501,1047-48,2,1.3.8.02,2,0.7373905708369825,0.3496477811482872,0.7590336233347678,0.5841705251562517,0.4904145042277827
501,1047-48,3,1.3.8.01,1,0.8463308036647488,0.5645034435307981,0.9141798492657672,0.7438685141995327,0.4154281029249473
501,1047-48,3,1.3.8.02,2,0.7513442074140195,0.6084776026437944,0.8629452900316573,0.6825518927687096,0.4604111346411362
501,1047-48,4,1.3.8.01,1,0.8417531831635316,0.67478114795277,0.8469989987392763,0.6880858209038234,0.5237451607656668
501,1047-48,4,1.3.8.02,2,0.8645743544343029,0.6482181372527626,0.95,0.7358885710466752,0.5529135910523122
501,1047-48,5,1.3.8.01,1,0.5545953764171782,0.4458533795097397,0.7139990660186643,0.63449920470211,0.5560308744453313
501,1047-48,5,1.3.8.02,2,0.6834761403357162,0.5516808689622258,0.7622151228850935,0.5985474504804963,0.5409133858454137
501,1047-48,6,1.3.8.01,1,0.6425181636273465,0.4226288003925664,0.6632752061268039,0.5979193324070353,0.7507092465236794
501,1047-48,6,1.3.8.02,2,0.5463768186110958,0.327277438128033,0.6795378035977694,0.5532887298093333,0.7092817866497366
501,1047-48,7,1.3.8.01,1,0.6428471248362266,0.4091384376960058,0.6086502828497272,0.4623278095019592,0.718067681411655
501,1047-48,7,1.3.8.02,2,0.5320509620372943,0.371289449511492,0.6807646316070435,0.4739450452285633,0.8050387313312902
501,1047-48,8,1.3.8.01,1,0.6977130900749119,0.559120828455577,0.7061191295969778,0.5832238050567433,0.5631948495661785
501,1047-48,8,1.3.8.02,2,0.7313874974919391,0.6222654931378555,0.8434628857971327,0.7174541470630318,0.5951478200888568
501,1047-48,9,1.3.8.01,1,0.7118716995714284,0.5235671106605904,0.7432301817646565,0.651550242785574,0.6017607469777488
501,1047-48,9,1.3.8.02,2,0.7252890984620932,0.4839005964932184,0.7946360972359281,0.6633405840100096,0.6203221984809576
501,1047-48,10,1.3.8.01,1,0.5352331552315949,0.4044750918401498,0.6469966147183476,0.4440335040304926,0.9379999826574512
501,1047-48,10,1.3.8.02,2,0.5069958712492648,0.3056593659913484,0.647526602443317,0.4238832915187942,0.8072868242171043
501,1047-48,11,1.3.8.01,1,0.7666583495061451,0.4901369391740959,0.8465030342468514,0.6153169698876474,0.7631049858550142
501,1047-48,11,1.3.8.02,2,0.8066329442470992,0.5457438790533732,0.8359926761131775,0.6374480614176451,0.6619540013708055
501,1047-48,12,1.3.8.01,1,0.4467635644475172,0.2740233544133149,0.6307222339767031,0.3045060410608846,0.9237837884876262
501,1047-48,12,1.3.8.02,2,0.4715263938780026,0.2659011455447017,0.5666575595812071,0.4021069070173985,0.95
502,1047-48,1,2.3.21.01,1,0.866249333733954,0.271780519283658,0.762354568642589,0.3982852898390181,0.5172029586360822
