student_id,academic_year,week_number,module_code,semester,total_sessions,attended_sessions,vle_logins,vle_resource_views,vle_forum_posts,vle_mean_login_time
10000,1048-49,1,433301,1,3,2,0,0,1,14:58
10000,1048-49,2,433301,1,3,3,1,2,0,15:43
10000,1048-49,3,433301,1,3,2,1,2,3,14:39
10000,1048-49,4,433301,1,3,3,0,0,4,14:22
10000,1048-49,5,433301,1,3,3,3,6,1,16:18
10000,1048-49,6,433301,1,3,3,0,0,0,15:55
10000,1048-49,7,433301,1,3,2,0,0,3,14:02
10000,1048-49,8,433301,1,3,2,1,3,1,22:55
10000,1048-49,9,433301,1,3,3,2,4,2,14:50
10000,1048-49,10,433301,1,3,2,0,0,0,13:40
10000,1048-49,11,433301,1,3,2,1,4,3,11:29
10000,1048-49,12,433301,1,3,2,0,0,4,11:27
10001,1048-49,1,431104,2,3,2,8,15,1,15:55
10001,1048-49,1,431103,2,4,3,10,21,0,15:14
10001,1048-49,1,431101,1,3,2,8,14,1,14:47
10001,1048-49,1,431102,1,3,2,12,22,1,17:08
10001,1048-49,2,431104,2,3,3,6,11,1,13:27
10001,1048-49,2,431103,2,4,3,12,25,1,12:59
10001,1048-49,2,431101,1,3,2,10,18,0,11:56
10001,1048-49,2,431102,1,3,2,5,9,1,14:23
10001,1048-49,3,431104,2,3,2,8,16,1,13:41
10001,1048-49,3,431103,2,4,3,6,12,2,12:28
10001,1048-49,3,431101,1,3,3,7,13,1,11:28
10001,1048-49,3,431102,1,3,3,9,16,1,13:38
10001,1048-49,4,431104,2,3,2,0,0,0,16:05
10001,1048-49,4,431103,2,4,2,4,7,1,16:24
10001,1048-49,4,431101,1,3,1,3,5,0,12:46
10001,1048-49,4,431102,1,3,1,7,11,0,16:17
10001,1048-49,5,431104,2,3,3,9,19,3,15:58
10001,1048-49,5,431103,2,4,4,6,13,0,13:57
10001,1048-49,5,431101,1,3,3,7,14,1,16:07
10001,1048-49,5,431102,1,3,3,6,12,1,16:12
10001,1048-49,6,431104,2,3,3,7,21,1,17:23
10001,1048-49,6,431103,2,4,3,6,18,1,10:23
10001,1048-49,6,431101,1,3,3,3,8,2,12:18
10001,1048-49,6,431102,1,3,2,8,21,1,15:31
10001,1048-49,7,431104,2,3,3,8,24,1,14:03
10001,1048-49,7,431103,2,4,4,8,26,0,15:12
10001,1048-49,7,431101,1,3,3,7,20,0,11:36
10001,1048-49,7,431102,1,3,2,5,14,1,14:23
10001,1048-49,8,431104,2,3,3,4,11,2,15:04
10001,1048-49,8,431103,2,4,3,5,15,3,13:25
10001,1048-49,8,431101,1,3,2,8,20,0,11:33
10001,1048-49,8,431102,1,3,3,14,36,2,13:28
10001,1048-49,9,431104,2,3,2,4,8,0,15:53
10001,1048-49,9,431103,2,4,4,7,15,0,18:00
10001,1048-49,9,431101,1,3,2,5,9,0,14:49
10001,1048-49,9,431102,1,3,2,2,4,2,15:46
10001,1048-49,10,431104,2,3,3,10,41,1,16:56
10001,1048-49,10,431103,2,4,4,9,40,0,16:09
10001,1048-49,10,431101,1,3,2,8,30,2,14:27
10001,1048-49,10,431102,1,3,2,9,34,0,15:40
10001,1048-49,11,431104,2,3,3,8,35,1,10:52
10001,1048-49,11,431103,2,4,4,5,23,3,15:51
10001,1048-49,11,431101,1,3,2,3,12,0,12:19
10001,1048-49,11,431102,1,3,3,8,32,1,16:58
10001,1048-49,12,431104,2,3,2,4,14,0,15:41
10001,1048-49,12,431103,2,4,3,14,58,1,17:54
10001,1048-49,12,431101,1,3,2,9,32,1,15:55
10001,1048-49,12,431102,1,3,2,11,39,2,15:21
10002,1048-49,1,441103,2,4,4,2,4,2,14:07
10002,1048-49,1,441301,1,4,3,1,2,0,15:11
10002,1048-49,1,441202,1,4,3,4,8,1,15:49
10002,1048-49,2,441103,2,4,4,1,2,2,11:40
10002,1048-49,2,441301,1,4,4,2,4,2,13:12
10002,1048-49,2,441202,1,4,3,0,0,2,13:47
10002,1048-49,3,441103,2,4,4,2,4,1,11:29
10002,1048-49,3,441301,1,4,4,1,2,0,15:12
10002,1048-49,3,441202,1,4,4,0,0,2,11:48
10002,1048-49,4,441103,2,4,4,0,0,1,16:35
10002,1048-49,4,441301,1,4,4,0,0,4,12:31
10002,1048-49,4,441202,1,4,4,2,4,2,14:36
10002,1048-49,5,441103,2,4,3,1,2,2,13:16
10002,1048-49,5,441301,1,4,3,0,0,0,14:57
10002,1048-49,5,441202,1,4,3,0,0,1,13:29
10002,1048-49,6,441103,2,4,3,0,0,0,15:25
10002,1048-49,6,441301,1,4,3,2,5,1,14:57
10002,1048-49,6,441202,1,4,2,2,5,1,13:53
10002,1048-49,7,441103,2,4,2,1,3,0,12:41
10002,1048-49,7,441301,1,4,2,2,5,1,16:36
10002,1048-49,7,441202,1,4,3,0,0,3,13:54
10002,1048-49,8,441103,2,4,3,1,3,2,16:45
10002,1048-49,8,441301,1,4,3,2,6,0,14:07
10002,1048-49,8,441202,1,4,3,0,0,2,12:13
10002,1048-49,9,441103,2,4,3,4,7,0,15:36
10002,1048-49,9,441301,1,4,4,0,0,1,13:31
10002,1048-49,9,441202,1,4,3,1,2,0,14:10
10002,1048-49,10,441103,2,4,4,1,4,2,14:51
10002,1048-49,10,441301,1,4,4,2,9,2,13:16
10002,1048-49,10,441202,1,4,3,0,0,1,14:12
10002,1048-49,11,441103,2,4,4,2,8,4,14:54
10002,1048-49,11,441301,1,4,3,1,4,2,12:53
10002,1048-49,11,441202,1,4,3,0,0,1,14:53
10002,1048-49,12,441103,2,4,4,1,4,2,14:16
10002,1048-49,12,441301,1,4,4,1,4,3,14:48
10002,1048-49,12,441202,1,4,3,2,7,0,13:27
10003,1048-49,1,434601,1,3,2,2,4,0,14:18
10003,1048-49,2,434601,1,3,3,0,0,2,13:46
10003,1048-49,3,434601,1,3,3,0,0,0,13:35
10003,1048-49,4,434601,1,3,3,0,0,2,16:15
10003,1048-49,5,434601,1,3,3,1,2,0,15:33
10003,1048-49,6,434601,1,3,2,0,0,2,15:20
10003,1048-49,7,434601,1,3,3,1,3,2,13:26
10003,1048-49,8,434601,1,3,3,0,0,1,14:07
10003,1048-49,9,434601,1,3,2,0,0,3,14:46
10003,1048-49,10,434601,1,3,2,0,0,0,16:13
10003,1048-49,11,434601,1,3,2,1,4,4,15:29
10003,1048-49,12,434601,1,3,2,1,4,2,14:06
10004,1048-49,1,442703,2,3,2,1,2,2,14:57
10004,1048-49,1,442802,2,4,3,0,0,1,12:08
10004,1048-49,1,442902,1,4,4,0,0,0,16:05
10004,1048-49,1,4421001,1,4,3,3,6,0,13:35
10004,1048-49,2,442703,2,3,2,0,0,0,13:29
10004,1048-49,2,442802,2,4,3,1,2,2,14:35
10004,1048-49,2,442902,1,4,3,1,2,0,15:33
10004,1048-49,2,4421001,1,4,4,1,2,1,14:52
10004,1048-49,3,442703,2,3,2,1,2,2,14:36
10004,1048-49,3,442802,2,4,3,1,2,5,16:18
10004,1048-49,3,442902,1,4,3,0,0,0,10:07
10004,1048-49,3,4421001,1,4,4,0,0,0,12:55
10004,1048-49,4,442703,2,3,3,0,0,2,13:49
10004,1048-49,4,442802,2,4,4,1,2,0,12:38
10004,1048-49,4,442902,1,4,4,2,4,2,14:28
10004,1048-49,4,4421001,1,4,4,2,4,1,15:10
10004,1048-49,5,442703,2,3,3,1,2,1,15:45
10004,1048-49,5,442802,2,4,4,1,2,3,13:12
10004,1048-49,5,442902,1,4,4,0,0,0,15:47
10004,1048-49,5,4421001,1,4,4,2,5,2,10:59
10004,1048-49,6,442703,2,3,2,0,0,1,17:15
10004,1048-49,6,442802,2,4,3,0,0,0,16:16
